time, sensor_id, sensor_x, sensor_y, temp_in, temp_out,
176.032, 2, 1.30989, 2.56938, 16.6934, 8.60038, 
176.16, 2, 1.30989, 2.56938, 16.4892, 9.03012, 
176.288, 2, 1.30989, 2.56938, 16.8322, 8.57659, 
176.416, 2, 1.30989, 2.56938, 16.6325, 8.93683, 
176.544, 2, 1.30989, 2.56938, 16.5979, 9.1345, 
176.672, 2, 1.30989, 2.56938, 16.3688, 9.0684, 
211.872, 3, 4.06932, 3.90368, 16.6712, 8.31259, 
212, 3, 4.06932, 3.90368, 16.5086, 8.73138, 
212.128, 3, 4.06932, 3.90368, 16.4236, 7.93343, 
212.256, 3, 4.06932, 3.90368, 16.3919, 8.71289, 
212.384, 3, 4.06932, 3.90368, 16.5527, 8.95629, 
212.512, 3, 4.06932, 3.90368, 16.5305, 8.15319, 
212.64, 3, 4.06932, 3.90368, 16.6575, 8.66072, 
212.768, 3, 4.06932, 3.90368, 16.6729, 8.49053, 
212.896, 3, 4.06932, 3.90368, 16.4354, 8.632, 
213.024, 3, 4.06932, 3.90368, 16.7284, 8.62034, 
213.152, 3, 4.06932, 3.90368, 16.5184, 7.90346, 
213.28, 3, 4.06932, 3.90368, 16.6938, 9.09324, 
213.408, 3, 4.06932, 3.90368, 16.5974, 8.60528, 
213.536, 3, 4.06932, 3.90368, 16.7163, 8.29734, 
213.664, 3, 4.06932, 3.90368, 16.6139, 8.27658, 
213.792, 3, 4.06932, 3.90368, 16.5582, 8.32423, 
213.92, 3, 4.06932, 3.90368, 16.5311, 8.54076, 
214.048, 3, 4.06932, 3.90368, 16.504, 8.33452, 
214.176, 3, 4.06932, 3.90368, 16.6311, 8.75566, 
214.304, 3, 4.06932, 3.90368, 16.6013, 8.91237, 
214.432, 3, 4.06932, 3.90368, 16.5687, 7.95397, 
214.56, 3, 4.06932, 3.90368, 16.5761, 8.39856, 
214.688, 3, 4.06932, 3.90368, 16.5749, 8.17052, 
214.816, 3, 4.06932, 3.90368, 16.6055, 8.88315, 
214.944, 3, 4.06932, 3.90368, 16.296, 8.34801, 
215.072, 3, 4.06932, 3.90368, 16.5782, 7.98742, 
215.2, 3, 4.06932, 3.90368, 16.6193, 8.49414, 
