time, light, accx, accy, accz,
6.976, 1.37812, -0.0359073, 0.00664077, 9.77817, 
7.008, 1.37559, -0.0213488, 0.0175609, 9.82816, 
7.04, 1.37782, 0.00407762, -0.0210356, 9.73952, 
7.072, 1.37494, 0.0340716, 0.0350328, 9.83716, 
7.104, 1.37902, -0.0800009, 0.00298038, 9.89025, 
7.136, 1.37768, -0.00887573, 0.0407966, 9.83602, 
7.168, 1.38193, 0.0624683, 0.0287553, 9.88363, 
7.2, 1.38337, -0.0149438, 0.0305945, 9.82304, 
7.232, 1.38313, -0.0147512, -0.0333441, 9.84622, 
7.264, 1.37318, 0.0543008, 0.0213745, 9.92307, 
7.296, 1.37869, 0.0224802, -0.0588294, 9.87925, 
7.328, 1.37442, -0.00472205, 0.0304043, 9.82653, 
7.36, 1.37631, -0.0210987, 0.0691896, 9.80005, 
7.392, 1.38092, 0.0287492, -0.0268674, 9.82071, 
7.424, 1.37752, -0.113399, -0.114151, 9.84489, 
7.456, 1.37182, 0.0348269, -0.0292006, 9.76823, 
7.488, 1.37132, 0.0355487, -0.0272747, 9.90462, 
7.52, 1.3726, -0.0696402, -0.121621, 9.84488, 
7.552, 1.37299, -0.00970974, -0.0136112, 9.82621, 
7.584, 1.38187, 0.0045157, 0.0412913, 9.7618, 
7.616, 1.37649, -0.0358738, 0.118768, 9.73451, 
7.648, 1.38088, -0.087079, 0.0283246, 9.81934, 
7.68, 1.38132, 0.060622, 0.0180218, 9.86852, 
7.712, 1.38186, 0.0460301, -0.0378798, 9.75954, 
7.744, 1.37279, 0.0139928, 0.0144491, 9.82278, 
7.776, 1.37874, 0.00413061, -0.0115837, 9.80658, 
7.808, 1.37704, -0.04268, -0.0474006, 9.89347, 
7.84, 1.37795, -0.0792151, 0.010539, 9.80667, 
7.872, 1.37156, -0.0293841, 0.103, 9.82411, 
7.904, 1.38276, 0.0320544, -0.0120993, 9.77042, 
7.936, 1.38334, 0.0512402, 0.0213393, 9.76122, 
7.968, 1.37549, -0.0102234, -0.0866446, 9.82599, 
8, 1.37459, -0.0341006, -0.0447353, 9.85746, 
8.032, 1.37276, 0.0538419, -0.0952633, 9.85032, 
8.064, 1.37755, -0.0615872, -0.0199824, 9.85935, 
8.096, 1.38311, 0.0171184, -0.0205946, 9.82643, 
8.128, 1.37555, 0.0305438, -0.00714883, 9.83641, 
8.16, 1.38004, -0.00338444, -0.0302095, 9.81555, 
8.192, 1.37161, 0.0744453, 0.0874879, 9.80024, 
8.224, 1.37608, -0.0687974, -0.0618123, 9.86564, 
8.256, 1.37577, -0.0382391, 0.0211143, 9.7321, 
8.288, 1.37123, -0.0650732, -0.00442645, 9.75557, 
8.32, 1.37384, 0.0121215, -0.0503335, 9.74355, 
8.352, 1.38307, -0.0415812, 0.0409524, 9.78539, 
8.384, 1.37985, 0.00587564, -0.115018, 9.79698, 
8.416, 1.37705, 0.0269032, -0.0384287, 9.79655, 
8.448, 1.38011, -0.0402645, 0.0308929, 9.81751, 
8.48, 1.38306, -0.0866047, 0.0314644, 9.79894, 
8.512, 1.3791, -0.0582714, -0.0470789, 9.81295, 
8.544, 1.37833, 0.0368865, 0.0409788, 9.74662, 
8.576, 1.3768, -0.026292, -0.0388361, 9.81119, 
8.608, 1.37601, 0.0442936, -0.0275377, 9.84597, 
8.64, 1.38082, -0.0404276, 0.0109199, 9.8521, 
8.672, 1.37207, 0.0370305, -0.00016658, 9.75226, 
8.704, 1.37148, 0.0654521, -0.0328707, 9.87052, 
8.736, 1.37841, 0.000895441, 0.0284808, 9.78416, 
8.768, 1.37777, -0.00880246, -0.0868318, 9.84644, 
8.8, 1.37166, 0.0829699, -0.0331517, 9.71446, 
8.832, 1.37509, 0.0681106, -0.0304124, 9.8403, 
8.864, 1.38033, 0.000853137, 0.0119398, 9.84594, 
8.896, 1.37718, -0.0296478, 0.141101, 9.76361, 
8.928, 1.37286, 0.0748923, 0.00675736, 9.77743, 
8.96, 1.37221, -0.024444, 0.0385705, 9.79864, 
8.992, 1.3827, -0.0225444, -0.0697167, 9.78897, 
9.024, 1.38026, 0.0179719, -0.0839351, 9.74367, 
9.056, 1.38009, -0.0605501, 0.0184665, 9.72942, 
9.088, 1.3829, -0.0654536, 0.00753548, 9.79822, 
9.12, 1.38225, -0.0947561, 0.036709, 9.83994, 
9.152, 1.37226, 0.0534056, 0.0756499, 9.80865, 
9.184, 1.37541, 0.0706514, -0.00777407, 9.8057, 
9.216, 1.37124, 0.0945895, -0.0286776, 9.79697, 
9.248, 1.38326, 0.0312813, -0.053233, 9.82129, 
9.28, 1.37342, -0.0235258, -0.0211831, 9.80003, 
9.312, 1.38106, 0.0896667, -0.0850005, 9.74491, 
9.344, 1.38334, -0.0240258, -0.0171586, 9.89386, 
9.376, 1.37772, 0.117692, 0.0653181, 9.72664, 
9.408, 1.37707, 0.11192, 0.0418631, 9.76076, 
9.44, 1.37203, -0.0236135, 0.0080017, 9.75426, 
9.472, 1.37341, -0.0768357, 0.0420931, 9.69906, 
9.504, 1.37203, -0.0184017, 0.0382913, 9.70213, 
9.536, 1.377, -0.0567887, -0.0123219, 9.78463, 
9.568, 1.38258, 0.00673879, 0.0561069, 9.74341, 
9.6, 1.38061, -0.00398987, 0.0397667, 9.84028, 
9.632, 1.37226, -0.0755397, 0.0252038, 9.75504, 
9.664, 1.38011, 0.0365421, 0.0347441, 9.76252, 
9.696, 1.38182, 0.0354221, 0.0424614, 9.76096, 
9.728, 1.37227, 0.00750929, 0.0298369, 9.75346, 
9.76, 1.37139, -0.0271467, 0.0687942, 9.87599, 
9.792, 1.37683, -0.0043114, 0.0878533, 9.84063, 
9.824, 1.38332, 0.0281993, -0.00930507, 9.76293, 
9.856, 1.37803, 0.056453, -0.00474616, 9.86677, 
9.888, 1.37914, 0.000873252, -0.0306028, 9.776, 
